Orthogroup	acer	afen	alor	amil	apal	apoc	cjar	cnat	dcyl	dper	dspp	ffun	gasp	gfas	mcap	ofav	pcom	pdae	plob	pmea	pver	spis	ssid
OG0032918	FUN_005221-T1																						
OG0032919	FUN_005241-T1																						
OG0032920	FUN_005255-T1																						
OG0032921	FUN_005280-T1																						
OG0032922	FUN_005291-T1																						
OG0032923	FUN_005292-T1																						
OG0032924	FUN_005293-T1																						
OG0032925	FUN_005294-T1																						
OG0032926	FUN_005296-T1																						
OG0032927	FUN_005339-T1																						
OG0032928	FUN_005341-T1																						
OG0032929	FUN_005384-T1																						
OG0032930	FUN_005404-T1																						
OG0032931	FUN_005413-T1																						
OG0032932	FUN_005426-T1																						
OG0032933	FUN_005436-T1																						
OG0032934	FUN_005450-T1																						
OG0032935	FUN_005454-T1																						
OG0032936	FUN_005466-T1																						
OG0032937	FUN_005497-T1																						
OG0032938	FUN_005708-T1																						
OG0032939	FUN_005718-T1																						
OG0032940	FUN_005752-T1																						
OG0032941	FUN_005803-T1																						
OG0032942	FUN_005839-T1																						
OG0032943	FUN_005841-T1																						
OG0032944	FUN_005845-T1																						
OG0032945	FUN_005859-T1																						
OG0032946	FUN_005866-T1																						
OG0032947	FUN_005873-T1																						
OG0032948	FUN_005960-T1																						
OG0032949	FUN_006022-T1																						
OG0032950	FUN_006026-T1																						
OG0032951	FUN_006074-T1																						
OG0032952	FUN_006091-T1																						
OG0032953	FUN_006100-T1																						
OG0032954	FUN_006107-T1																						
OG0032955	FUN_006126-T1																						
OG0032956	FUN_006163-T1																						
OG0032957	FUN_006184-T1																						
OG0032958	FUN_006200-T1																						
OG0032959	FUN_006234-T1																						
OG0032960	FUN_006261-T1																						
OG0032961	FUN_006266-T1																						
OG0032962	FUN_006268-T1																						
OG0032963	FUN_006277-T1																						
OG0032964	FUN_006311-T1																						
OG0032965	FUN_006317-T1																						
OG0032966	FUN_006325-T1																						
OG0032967	FUN_006342-T1																						
OG0032968	FUN_006343-T1																						
OG0032969	FUN_006345-T1																						
OG0032970	FUN_006349-T1																						
OG0032971	FUN_006372-T1																						
OG0032972	FUN_006398-T1																						
OG0032973	FUN_006399-T1																						
OG0032974	FUN_006406-T1																						
OG0032975	FUN_006435-T1																						
OG0032976	FUN_006443-T1																						
OG0032977	FUN_006449-T1																						
OG0032978	FUN_006457-T1																						
OG0032979	FUN_006487-T1																						
OG0032980	FUN_006491-T1																						
OG0032981	FUN_006505-T1																						
OG0032982	FUN_006545-T1																						
OG0032983	FUN_006558-T1																						
OG0032984	FUN_006566-T1																						
OG0032985	FUN_006576-T1																						
OG0032986	FUN_006590-T1																						
OG0032987	FUN_006710-T1																						
OG0032988	FUN_006725-T1																						
OG0032989	FUN_006737-T1																						
OG0032990	FUN_006765-T1																						
OG0032991	FUN_006773-T1																						
OG0032992	FUN_006777-T1																						
OG0032993	FUN_006778-T1																						
OG0032994	FUN_006783-T1																						
OG0032995	FUN_006836-T1																						
OG0032996	FUN_006878-T1																						
OG0032997	FUN_006923-T1																						
OG0032998	FUN_006925-T1																						
OG0032999	FUN_006944-T1																						
OG0033000	FUN_006954-T1																						
OG0033001	FUN_007052-T1																						
OG0033002	FUN_007072-T1																						
OG0033003	FUN_007090-T1																						
OG0033004	FUN_007096-T1																						
OG0033005	FUN_007109-T1																						
OG0033006	FUN_007111-T1																						
OG0033007	FUN_007113-T1																						
OG0033008	FUN_007114-T1																						
OG0033009	FUN_007115-T1																						
OG0033010	FUN_007116-T1																						
OG0033011	FUN_007117-T1																						
OG0033012	FUN_007119-T1																						
OG0033013	FUN_007123-T1																						
OG0033014	FUN_007124-T1																						
OG0033015	FUN_007125-T1																						
OG0033016	FUN_007130-T1																						
OG0033017	FUN_007131-T1																						
OG0033018	FUN_007172-T1																						
OG0033019	FUN_007195-T1																						
OG0033020	FUN_007196-T1																						
OG0033021	FUN_007205-T1																						
OG0033022	FUN_007222-T1																						
OG0033023	FUN_007280-T1																						
OG0033024	FUN_007304-T1																						
OG0033025	FUN_007318-T1																						
OG0033026	FUN_007340-T1																						
OG0033027	FUN_007354-T1																						
OG0033028	FUN_007376-T1																						
OG0033029	FUN_007392-T1																						
OG0033030	FUN_007411-T1																						
OG0033031	FUN_007428-T1																						
OG0033032	FUN_007434-T1																						
OG0033033	FUN_007439-T1																						
OG0033034	FUN_007463-T1																						
OG0033035	FUN_007517-T1																						
OG0033036	FUN_007519-T1																						
OG0033037	FUN_007625-T1																						
OG0033038	FUN_007664-T1																						
OG0033039	FUN_007684-T1																						
OG0033040	FUN_007702-T1																						
OG0033041	FUN_007721-T1																						
OG0033042	FUN_007758-T1																						
OG0033043	FUN_007760-T1																						
OG0033044	FUN_007763-T1																						
OG0033045	FUN_007766-T1																						
OG0033046	FUN_007797-T1																						
OG0033047	FUN_007807-T1																						
OG0033048	FUN_007815-T1																						
OG0033049	FUN_007893-T1																						
OG0033050	FUN_007902-T1																						
OG0033051	FUN_007943-T1																						
OG0033052	FUN_007944-T1																						
OG0033053	FUN_007952-T1																						
OG0033054	FUN_007956-T2																						
OG0033055	FUN_007961-T1																						
OG0033056	FUN_007972-T1																						
OG0033057	FUN_007976-T1																						
OG0033058	FUN_008003-T1																						
OG0033059	FUN_008012-T1																						
OG0033060	FUN_008037-T1																						
OG0033061	FUN_008048-T1																						
OG0033062	FUN_008058-T1																						
OG0033063	FUN_008096-T1																						
OG0033064	FUN_008099-T1																						
OG0033065	FUN_008126-T1																						
OG0033066	FUN_008128-T1																						
OG0033067	FUN_008144-T1																						
OG0033068	FUN_008167-T1																						
OG0033069	FUN_008221-T1																						
OG0033070	FUN_008404-T1																						
OG0033071	FUN_008436-T1																						
OG0033072	FUN_008445-T1																						
OG0033073	FUN_008453-T1																						
OG0033074	FUN_008458-T1																						
OG0033075	FUN_008460-T1																						
OG0033076	FUN_008489-T1																						
OG0033077	FUN_008507-T1																						
OG0033078	FUN_008524-T1																						
OG0033079	FUN_008563-T1																						
OG0033080	FUN_008590-T1																						
OG0033081	FUN_008614-T1																						
OG0033082	FUN_008647-T1																						
OG0033083	FUN_008652-T1																						
OG0033084	FUN_008655-T1																						
OG0033085	FUN_008714-T1																						
OG0033086	FUN_008722-T1																						
OG0033087	FUN_008726-T1																						
OG0033088	FUN_008748-T1																						
OG0033089	FUN_008763-T1																						
OG0033090	FUN_008774-T1																						
OG0033091	FUN_008785-T1																						
OG0033092	FUN_008792-T1																						
OG0033093	FUN_008842-T1																						
OG0033094	FUN_008847-T1																						
OG0033095	FUN_008853-T1																						
OG0033096	FUN_008897-T1																						
OG0033097	FUN_008930-T1																						
OG0033098	FUN_008933-T1																						
OG0033099	FUN_008937-T1																						
OG0033100	FUN_008965-T1																						
OG0033101	FUN_009002-T1																						
OG0033102	FUN_009041-T1																						
OG0033103	FUN_009065-T1																						
OG0033104	FUN_009066-T1																						
OG0033105	FUN_009067-T1																						
OG0033106	FUN_009099-T1																						
OG0033107	FUN_009178-T1																						
OG0033108	FUN_009180-T1																						
OG0033109	FUN_009187-T1																						
OG0033110	FUN_009208-T1																						
OG0033111	FUN_009210-T1																						
OG0033112	FUN_009221-T1																						
OG0033113	FUN_009240-T1																						
OG0033114	FUN_009264-T1																						
OG0033115	FUN_009291-T1																						
OG0033116	FUN_009320-T1																						
OG0033117	FUN_009349-T1																						
OG0033118	FUN_009374-T1																						
OG0033119	FUN_009415-T1																						
OG0033120	FUN_009419-T1																						
OG0033121	FUN_009504-T1																						
OG0033122	FUN_009528-T1																						
OG0033123	FUN_009533-T1																						
OG0033124	FUN_009571-T1																						
OG0033125	FUN_009605-T1																						
OG0033126	FUN_009614-T1																						
OG0033127	FUN_009617-T1																						
OG0033128	FUN_009649-T1																						
OG0033129	FUN_009696-T1																						
OG0033130	FUN_009730-T1																						
OG0033131	FUN_009731-T1																						
OG0033132	FUN_009755-T1																						
OG0033133	FUN_009774-T1																						
OG0033134	FUN_009807-T1																						
OG0033135	FUN_009808-T1																						
OG0033136	FUN_009813-T1																						
OG0033137	FUN_009862-T1																						
OG0033138	FUN_009893-T1																						
OG0033139	FUN_009918-T1																						
OG0033140	FUN_009921-T1																						
OG0033141	FUN_009923-T1																						
OG0033142	FUN_009924-T1																						
OG0033143	FUN_009925-T1																						
OG0033144	FUN_009928-T1																						
OG0033145	FUN_009929-T1																						
OG0033146	FUN_009930-T1																						
OG0033147	FUN_009931-T1																						
OG0033148	FUN_009933-T1																						
OG0033149	FUN_009934-T1																						
OG0033150	FUN_009943-T1																						
OG0033151	FUN_009946-T1																						
OG0033152	FUN_009959-T1																						
OG0033153	FUN_009961-T1																						
OG0033154	FUN_009991-T1																						
OG0033155	FUN_010003-T1																						
OG0033156	FUN_010008-T1																						
OG0033157	FUN_010076-T1																						
OG0033158	FUN_010089-T1																						
OG0033159	FUN_010130-T1																						
OG0033160	FUN_010133-T1																						
OG0033161	FUN_010174-T1																						
OG0033162	FUN_010233-T1																						
OG0033163	FUN_010251-T1																						
OG0033164	FUN_010279-T1																						
OG0033165	FUN_010287-T1																						
OG0033166	FUN_010297-T1																						
OG0033167	FUN_010331-T1																						
OG0033168	FUN_010335-T1																						
OG0033169	FUN_010340-T1																						
OG0033170	FUN_010346-T1																						
OG0033171	FUN_010348-T1																						
OG0033172	FUN_010503-T1																						
OG0033173	FUN_010565-T1																						
OG0033174	FUN_010610-T1																						
OG0033175	FUN_010675-T1																						
OG0033176	FUN_010679-T1																						
OG0033177	FUN_010695-T1																						
OG0033178	FUN_010714-T1																						
OG0033179	FUN_010732-T1																						
OG0033180	FUN_010745-T1																						
OG0033181	FUN_010781-T1																						
OG0033182	FUN_010792-T1																						
OG0033183	FUN_010812-T1																						
OG0033184	FUN_010841-T1																						
OG0033185	FUN_010879-T1																						
OG0033186	FUN_010897-T1																						
OG0033187	FUN_010933-T1																						
OG0033188	FUN_010935-T1																						
OG0033189	FUN_010939-T1																						
OG0033190	FUN_010968-T1																						
OG0033191	FUN_010982-T1																						
OG0033192	FUN_011009-T1																						
OG0033193	FUN_011036-T1																						
OG0033194	FUN_011083-T1																						
OG0033195	FUN_011086-T1																						
OG0033196	FUN_011100-T1																						
OG0033197	FUN_011101-T1																						
OG0033198	FUN_011110-T1																						
OG0033199	FUN_011117-T1																						
OG0033200	FUN_011131-T1																						
OG0033201	FUN_011168-T1																						
OG0033202	FUN_011204-T1																						
OG0033203	FUN_011230-T1																						
OG0033204	FUN_011233-T1																						
OG0033205	FUN_011261-T1																						
OG0033206	FUN_011277-T1																						
OG0033207	FUN_011302-T1																						
OG0033208	FUN_011320-T1																						
OG0033209	FUN_011355-T1																						
OG0033210	FUN_011398-T1																						
OG0033211	FUN_011409-T1																						
OG0033212	FUN_011411-T1																						
OG0033213	FUN_011418-T1																						
OG0033214	FUN_011472-T1																						
OG0033215	FUN_011474-T1																						
OG0033216	FUN_011481-T1																						
OG0033217	FUN_011504-T1																						
OG0033218	FUN_011533-T1																						
OG0033219	FUN_011563-T1																						
OG0033220	FUN_011588-T1																						
OG0033221	FUN_011639-T1																						
OG0033222	FUN_011656-T1																						
OG0033223	FUN_011684-T1																						
OG0033224	FUN_011702-T1																						
OG0033225	FUN_011745-T1																						
OG0033226	FUN_011752-T1																						
OG0033227	FUN_011815-T1																						
OG0033228	FUN_011874-T1																						
OG0033229	FUN_011908-T1																						
OG0033230	FUN_011918-T1																						
OG0033231	FUN_011931-T1																						
OG0033232	FUN_011934-T1																						
OG0033233	FUN_011935-T1																						
OG0033234	FUN_011943-T1																						
OG0033235	FUN_011948-T1																						
OG0033236	FUN_011962-T1																						
OG0033237	FUN_011982-T1																						
OG0033238	FUN_011990-T1																						
OG0033239	FUN_012039-T1																						
OG0033240	FUN_012072-T1																						
OG0033241	FUN_012073-T1																						
OG0033242	FUN_012407-T1																						
OG0033243	FUN_012501-T1																						
OG0033244	FUN_012508-T1																						
OG0033245	FUN_012530-T1																						
OG0033246	FUN_012553-T1																						
OG0033247	FUN_012608-T1																						
OG0033248	FUN_012620-T1																						
OG0033249	FUN_012621-T1																						
OG0033250	FUN_012622-T1																						
OG0033251	FUN_012623-T1																						
OG0033252	FUN_012624-T1																						
OG0033253	FUN_012630-T1																						
OG0033254	FUN_012632-T1																						
OG0033255	FUN_012634-T1																						
OG0033256	FUN_012635-T1																						
OG0033257	FUN_012636-T1																						
OG0033258	FUN_012637-T1																						
OG0033259	FUN_012639-T1																						
OG0033260	FUN_012642-T1																						
OG0033261	FUN_012644-T1																						
OG0033262	FUN_012645-T1																						
OG0033263	FUN_012647-T1																						
OG0033264	FUN_012648-T1																						
OG0033265	FUN_012650-T1																						
OG0033266	FUN_012651-T1																						
OG0033267	FUN_012652-T1																						
OG0033268	FUN_012653-T1																						
OG0033269	FUN_012655-T1																						
OG0033270	FUN_012658-T1																						
OG0033271	FUN_012665-T1																						
OG0033272	FUN_012667-T1																						
OG0033273	FUN_012668-T1																						
OG0033274	FUN_012670-T1																						
OG0033275	FUN_012671-T1																						
OG0033276	FUN_012679-T1																						
OG0033277	FUN_012682-T1																						
OG0033278	FUN_012693-T1																						
OG0033279	FUN_012721-T1																						
OG0033280	FUN_012749-T1																						
OG0033281	FUN_012765-T1																						
OG0033282	FUN_012780-T1																						
OG0033283	FUN_012903-T1																						
OG0033284	FUN_012919-T1																						
OG0033285	FUN_012941-T1																						
OG0033286	FUN_012953-T1																						
OG0033287	FUN_012969-T1																						
OG0033288	FUN_012991-T1																						
OG0033289	FUN_013044-T1																						
OG0033290	FUN_013085-T1																						
OG0033291	FUN_013150-T1																						
OG0033292	FUN_013176-T1																						
OG0033293	FUN_013196-T2																						
OG0033294	FUN_013204-T1																						
OG0033295	FUN_013228-T1																						
OG0033296	FUN_013230-T1																						
OG0033297	FUN_013256-T1																						
OG0033298	FUN_013258-T1																						
OG0033299	FUN_013278-T1																						
OG0033300	FUN_013291-T1																						
OG0033301	FUN_013320-T1																						
OG0033302	FUN_013322-T1																						
OG0033303	FUN_013387-T1																						
OG0033304	FUN_013397-T1																						
OG0033305	FUN_013407-T1																						
OG0033306	FUN_013413-T1																						
OG0033307	FUN_013492-T1																						
OG0033308	FUN_013494-T1																						
OG0033309	FUN_013540-T1																						
OG0033310	FUN_013546-T1																						
OG0033311	FUN_013586-T1																						
OG0033312	FUN_013588-T1																						
OG0033313	FUN_013602-T1																						
OG0033314	FUN_013650-T1																						
OG0033315	FUN_013661-T1																						
OG0033316	FUN_013665-T1																						
OG0033317	FUN_013678-T1																						
OG0033318	FUN_013685-T1																						
OG0033319	FUN_013688-T1																						
OG0033320	FUN_013702-T1																						
OG0033321	FUN_013734-T1																						
OG0033322	FUN_013759-T1																						
OG0033323	FUN_013783-T1																						
OG0033324	FUN_013798-T1																						
OG0033325	FUN_013816-T1																						
OG0033326	FUN_013904-T1																						
OG0033327	FUN_013923-T1																						
OG0033328	FUN_014048-T1																						
OG0033329	FUN_014074-T1																						
OG0033330	FUN_014122-T1																						
OG0033331	FUN_014211-T1																						
OG0033332	FUN_014308-T1																						
OG0033333	FUN_014369-T1																						
OG0033334	FUN_014476-T1																						
OG0033335	FUN_014529-T1																						
OG0033336	FUN_014597-T1																						
OG0033337	FUN_014611-T1																						
OG0033338	FUN_014675-T1																						
OG0033339	FUN_014687-T1																						
OG0033340	FUN_014712-T1																						
OG0033341	FUN_014793-T1																						
OG0033342	FUN_014866-T1																						
OG0033343	FUN_014876-T1																						
OG0033344	FUN_014920-T1																						
OG0033345	FUN_015016-T1																						
OG0033346	FUN_015101-T1																						
OG0033347	FUN_015141-T1																						
OG0033348	FUN_015147-T1																						
OG0033349	FUN_015177-T1																						
OG0033350	FUN_015180-T1																						
OG0033351	FUN_015207-T1																						
OG0033352	FUN_015228-T1																						
OG0033353	FUN_015246-T1																						
OG0033354	FUN_015321-T1																						
OG0033355	FUN_015360-T1																						
OG0033356	FUN_015361-T1																						
OG0033357	FUN_015374-T1																						
OG0033358	FUN_015440-T1																						
OG0033359	FUN_015478-T1																						
OG0033360	FUN_015497-T1																						
OG0033361	FUN_015518-T1																						
OG0033362	FUN_015522-T1																						
OG0033363	FUN_015536-T1																						
OG0033364	FUN_015550-T1																						
OG0033365	FUN_015562-T1																						
OG0033366	FUN_015571-T1																						
OG0033367	FUN_015589-T1																						
OG0033368	FUN_015627-T1																						
OG0033369	FUN_015634-T1																						
OG0033370	FUN_015644-T1																						
OG0033371	FUN_015672-T1																						
OG0033372	FUN_015742-T1																						
OG0033373	FUN_015793-T1																						
OG0033374	FUN_015808-T1																						
OG0033375	FUN_015818-T1																						
OG0033376	FUN_015824-T1																						
OG0033377	FUN_015829-T1																						
OG0033378	FUN_015854-T1																						
OG0033379	FUN_015870-T1																						
OG0033380	FUN_015876-T1																						
OG0033381	FUN_015886-T1																						
OG0033382	FUN_015917-T1																						
OG0033383	FUN_015929-T1																						
OG0033384	FUN_015943-T1																						
OG0033385	FUN_015948-T1																						
OG0033386	FUN_016033-T1																						
OG0033387	FUN_016050-T1																						
OG0033388	FUN_016082-T1																						
OG0033389	FUN_016109-T1																						
OG0033390	FUN_016111-T1																						
OG0033391	FUN_016134-T1																						
OG0033392	FUN_016138-T1																						
OG0033393	FUN_016176-T1																						
OG0033394	FUN_016185-T1																						
OG0033395	FUN_016191-T1																						
OG0033396	FUN_016200-T1																						
OG0033397	FUN_016202-T1																						
OG0033398	FUN_016204-T1																						
OG0033399	FUN_016208-T1																						
OG0033400	FUN_016235-T1																						
OG0033401	FUN_016376-T1																						
OG0033402	FUN_016391-T1																						
OG0033403	FUN_016423-T1																						
OG0033404	FUN_016429-T1																						
OG0033405	FUN_016522-T1																						
OG0033406	FUN_016584-T1																						
OG0033407	FUN_016647-T1																						
OG0033408	FUN_016663-T1																						
OG0033409	FUN_016719-T1																						
OG0033410	FUN_016742-T1																						
OG0033411	FUN_016774-T1																						
OG0033412	FUN_016960-T1																						
OG0033413	FUN_017059-T1																						
OG0033414	FUN_017062-T1																						
OG0033415	FUN_017068-T1																						
OG0033416	FUN_017121-T1																						
OG0033417	FUN_017171-T1																						
OG0033418	FUN_017204-T1																						
OG0033419	FUN_017205-T1																						
OG0033420	FUN_017223-T1																						
OG0033421	FUN_017227-T1																						
OG0033422	FUN_017228-T1																						
OG0033423	FUN_017229-T1																						
OG0033424	FUN_017230-T1																						
OG0033425	FUN_017231-T1																						
OG0033426	FUN_017232-T1																						
OG0033427	FUN_017233-T1																						
OG0033428	FUN_017266-T1																						
OG0033429	FUN_017372-T1																						
OG0033430	FUN_017422-T1																						
OG0033431	FUN_017473-T1																						
OG0033432	FUN_017486-T1																						
OG0033433	FUN_017549-T1																						
OG0033434	FUN_017605-T1																						
OG0033435	FUN_017616-T1																						
OG0033436	FUN_017658-T1																						
OG0033437	FUN_017724-T1																						
OG0033438	FUN_017788-T1																						
OG0033439	FUN_017855-T1																						
OG0033440	FUN_017895-T1																						
OG0033441	FUN_017942-T1																						
OG0033442	FUN_017973-T1																						
OG0033443	FUN_017994-T1																						
OG0033444	FUN_018005-T1																						
OG0033445	FUN_018015-T1																						
OG0033446	FUN_018032-T1																						
OG0033447	FUN_018082-T1																						
OG0033448	FUN_018099-T1																						
OG0033449	FUN_018120-T1																						
OG0033450	FUN_018139-T1																						
OG0033451	FUN_018153-T1																						
OG0033452	FUN_018158-T1																						
OG0033453	FUN_018176-T1																						
OG0033454	FUN_018195-T1																						
OG0033455	FUN_018199-T1																						
OG0033456	FUN_018243-T1																						
OG0033457	FUN_018303-T1																						
OG0033458	FUN_018306-T1																						
OG0033459	FUN_018327-T1																						
OG0033460	FUN_018357-T1																						
OG0033461	FUN_018376-T1																						
